,intercept,layer,node,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49
10,-0.23724501,0,10,-0.029822242,0.04693528,-0.048281774,-0.16231279,0.19560127,0.10315995,-0.09543965,-0.1129001,0.22267658,-0.04118197,-0.10065333,-0.029420083,0.058610857,0.043861154,-0.014072072,0.17809117,0.10022961,-0.060838513,-0.0047377436,0.21259631,-0.010735661,0.11596556,0.30146858,0.13462098,-0.07052989,0.04477769,0.014349193,-0.06642231,-0.3104105,-0.007599943,-0.05902201,-0.024383256,,,,,,,,,,,,,,,,,,
11,-0.24367905,0,11,-0.0021931755,0.04079387,0.008855513,-0.0642434,0.010679581,0.063929476,-0.02855394,0.0243557,-0.08302744,0.04929577,0.010038365,0.01124804,0.15013514,0.27701294,0.30872118,-0.06208183,-0.028227264,-0.0016122673,-0.22693215,0.028476832,0.00021950458,-0.06460733,-0.04064376,-0.06163757,-0.008685283,0.03222771,-0.052327666,0.14034195,0.28692585,0.07110795,0.012514263,0.216764,,,,,,,,,,,,,,,,,,
12,-0.35498682,0,12,-0.0033004417,-0.021273592,-0.03273887,0.14871663,-0.031448852,-0.021319143,0.033703003,-0.057102412,-0.16194572,0.14170256,0.003462349,-0.005668487,0.028838942,0.16012388,-0.37739095,0.023574717,0.110896334,-0.10941708,-0.24826734,0.0121331,0.023044564,-0.050410822,0.14345638,-0.010324544,0.003978019,-0.023602098,-0.27470988,-0.06655025,0.20758912,0.0032618127,-0.08918286,-0.0089807045,,,,,,,,,,,,,,,,,,
13,-0.45135048,0,13,0.008361885,-0.051289458,0.08906578,0.11963515,-0.058236863,0.0024937957,0.11222086,-0.089574195,-0.17350076,0.07655554,0.039426103,-0.0024768126,0.03780962,-0.12454129,0.03187747,0.026896873,-0.043143466,-0.0476928,-0.66739124,0.1022313,-0.008398348,0.096953474,0.29865265,-0.044992454,0.035055466,0.01181513,-0.32255557,-0.019411584,0.094158545,0.005872552,0.021755818,-0.035305824,,,,,,,,,,,,,,,,,,
14,-0.053653724,0,14,0.07997119,-0.056454167,0.017465634,0.26848522,0.059428923,0.19675763,-0.1089334,0.076937,0.08744613,-0.17038283,-0.08781331,-0.07618974,-0.40755162,0.08060505,0.07027932,-0.14738083,0.068012044,-0.05087525,0.082894206,-0.07535964,-0.1490897,-0.0034751832,0.05641686,0.1004257,0.24539141,0.0583356,0.100185014,-0.1575715,-0.16931531,0.15525232,0.015003385,0.06648655,,,,,,,,,,,,,,,,,,
15,-0.5910124,0,15,-0.039641876,0.040623713,0.02279281,0.10077349,-0.030046374,0.028584542,-0.002589558,-0.007207065,-0.039104313,-0.0019997987,-0.054907702,-0.013039685,0.0050306604,0.011613211,-0.0037039975,-0.09414037,-0.10548455,-0.013956551,0.48238423,0.034898274,0.011003351,0.00060371665,-0.013727365,-0.109347954,-0.013975769,0.019272352,0.116836146,0.15615429,-0.121299945,0.06573547,0.09988323,0.040171318,,,,,,,,,,,,,,,,,,
16,-0.03277648,0,16,-0.055920433,-0.15550184,-0.09822331,-0.026371911,-0.09235003,0.0681761,0.14038286,-0.09137386,0.062089805,0.01751214,0.015588051,0.0007428853,-0.0037870796,-0.02306372,0.06261566,-0.1272992,-0.031202774,0.035889175,0.23533203,0.054484535,-0.03472022,-0.18042362,-0.15904066,0.12260002,-0.1398455,-0.16932535,-0.0070800516,0.0877768,-0.07532486,0.019657744,-0.05436145,-0.036421,,,,,,,,,,,,,,,,,,
17,-0.22794627,0,17,0.07045116,-0.014412563,-0.058200054,-0.030061897,0.095909916,0.040663682,-0.07524999,-0.15042013,0.10603548,0.04516271,0.08439386,-0.0066603217,-0.1056296,0.103700675,0.1599465,0.07005777,-0.020844223,0.03157126,-0.3381275,0.022477584,-2.9683419e-05,0.30997428,0.0030820065,0.026850974,0.16085799,-0.024579119,0.013795029,-0.043125678,-0.096356176,-0.2098357,-0.07282915,0.058577124,,,,,,,,,,,,,,,,,,
18,-0.35432371,0,18,0.016077388,-0.0442975,0.09611883,0.09112734,-0.0350264,0.0043554353,-0.01925215,-0.078133285,0.01802316,-0.043406773,-0.050406333,0.00021649036,0.05844294,0.1254641,0.0028696337,-0.0810607,-0.18914893,0.066533655,0.3733016,0.016242689,-0.057068665,-0.11671076,-0.02297196,-0.010193155,-0.011461286,0.07000246,0.080822125,0.31110165,-0.18906397,0.058146413,0.091385596,0.079800546,,,,,,,,,,,,,,,,,,
19,-0.5642588,0,19,-0.08243891,0.007542619,0.008775366,0.048656475,0.05939286,-0.027041597,0.07450056,-0.040596016,-0.020360295,-0.022301229,0.039531656,-0.0100910915,0.0031480787,0.016658733,-0.023821728,-0.09968009,-0.20079687,-0.0058767064,0.41579357,-0.02117324,-0.14113866,-0.07589803,0.021017175,0.064734526,-0.08807257,-0.06766746,0.12529594,0.056008533,-0.09445783,-0.09885855,-0.15840381,-0.022826765,,,,,,,,,,,,,,,,,,
