x_turb2,y_turb2,wind_speed,wind_direction,turbulence_intensity,turbine1_power,turbine2_powers,farm_power
100.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
100.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
100.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
150.0,0.0,8.0,270.0,0.06,1753.954459179171,190.3078895991195,1944.2623487782905
150.0,50.0,8.0,270.0,0.06,1753.954459179171,707.4538836213917,2461.408342800563
150.0,100.0,8.0,270.0,0.06,1753.954459179171,1470.3519821428072,3224.306441321978
150.0,150.0,8.0,270.0,0.06,1753.954459179171,1736.8232746542749,3490.777733833446
150.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.7327807726513,3507.687239951822
150.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.9538028459083,3507.9082620250792
150.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.954458740303,3507.908917919474
150.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591791055,3507.9089183582764
150.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
150.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
150.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
150.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
200.0,0.0,8.0,270.0,0.06,1753.954459179171,222.01345334299938,1975.9679125221703
200.0,50.0,8.0,270.0,0.06,1753.954459179171,721.8951176365531,2475.849576815724
200.0,100.0,8.0,270.0,0.06,1753.954459179171,1472.082713155454,3226.0371723346248
200.0,150.0,8.0,270.0,0.06,1753.954459179171,1736.0260614582837,3489.9805206374544
200.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.701642665134,3507.6561018443053
200.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.953617566448,3507.908076745619
200.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544585264289,3507.9089177056
200.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591790543,3507.9089183582255
200.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
200.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
200.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
200.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
250.0,0.0,8.0,270.0,0.06,1753.954459179171,249.68027363075362,2003.6347328099246
250.0,50.0,8.0,270.0,0.06,1753.954459179171,734.4840024012904,2488.4384615804615
250.0,100.0,8.0,270.0,0.06,1753.954459179171,1472.9456656146608,3226.9001247938318
250.0,150.0,8.0,270.0,0.06,1753.954459179171,1735.1565114572522,3489.110970636423
250.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.6663522088354,3507.6208113880066
250.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.953384695248,3507.907843874419
250.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544582169383,3507.9089173961092
250.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591789665,3507.9089183581373
250.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
250.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
250.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
250.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
300.0,0.0,8.0,270.0,0.06,1753.954459179171,274.4345520730248,2028.3890112521956
300.0,50.0,8.0,270.0,0.06,1753.954459179171,748.633609890369,2502.5880690695403
300.0,100.0,8.0,270.0,0.06,1753.954459179171,1473.2361614390525,3227.1906206182234
300.0,150.0,8.0,270.0,0.06,1753.954459179171,1734.2297289839112,3488.184188163082
300.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.6267187342312,3507.5811779134024
300.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.9530945586293,3507.9075537378008
300.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544577742488,3507.90891695342
300.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591788167,3507.908918357988
300.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
300.0,450.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
300.0,500.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
300.0,550.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
350.0,0.0,8.0,270.0,0.06,1753.954459179171,296.9567588561977,2050.9112180353686
350.0,50.0,8.0,270.0,0.06,1753.954459179171,762.5806136454917,2516.5350728246626
350.0,100.0,8.0,270.0,0.06,1753.954459179171,1473.1280388683479,3227.0824980475186
350.0,150.0,8.0,270.0,0.06,1753.954459179171,1733.254696428401,3487.209155607572
350.0,200.0,8.0,270.0,0.06,1753.954459179171,1753.58249621514,3507.536955394311
350.0,250.0,8.0,270.0,0.06,1753.954459179171,1753.952735828924,3507.9071950080947
350.0,300.0,8.0,270.0,0.06,1753.954459179171,1753.9544571479478,3507.9089163271187
350.0,350.0,8.0,270.0,0.06,1753.954459179171,1753.9544591785668,3507.908918357738
350.0,400.0,8.0,270.0,0.06,1753.954459179171,1753.954459179171,3507.908918358342
