x_turb2,y_turb2,wind_speed,wind_direction,turbulence_intensity,turbine1_power,turbine2_powers,farm_power
1700,600,8.0,270.0,0.06,1753.954459179171,1753.954459179113,3507.908918358284
1800,0,8.0,270.0,0.06,1753.954459179171,1172.675832564442,2926.630291743613
1800,200,8.0,270.0,0.06,1753.954459179171,1722.032524731147,3475.986983910318
1800,400,8.0,270.0,0.06,1753.954459179171,1753.9514791002,3507.9059382793707
1800,600,8.0,270.0,0.06,1753.954459179171,1753.954459178769,3507.90891835794
1900,0,8.0,270.0,0.06,1753.954459179171,1204.1485992604328,2958.103058439604
1900,200,8.0,270.0,0.06,1753.954459179171,1718.1107519860245,3472.0652111651953
1900,400,8.0,270.0,0.06,1753.954459179171,1753.948431872743,3507.9028910519137
1900,600,8.0,270.0,0.06,1753.954459179171,1753.954459176889,3507.90891835606
2000,0,8.0,270.0,0.06,1753.954459179171,1234.7425236102822,2988.696982789453
2000,200,8.0,270.0,0.06,1753.954459179171,1714.2516190072652,3468.206078186436
2000,400,8.0,270.0,0.06,1753.954459179171,1753.9430839733589,3507.8975431525296
2000,600,8.0,270.0,0.06,1753.954459179171,1753.954459168238,3507.908918347409
2100,0,8.0,270.0,0.06,1753.954459179171,1263.093110739332,3017.047569918503
2100,200,8.0,270.0,0.06,1753.954459179171,1710.5009434050173,3464.455402584188
2100,400,8.0,270.0,0.06,1753.954459179171,1753.9342531171992,3507.8887122963706
2100,600,8.0,270.0,0.06,1753.954459179171,1753.9544591339823,3507.908918313153
2200,0,8.0,270.0,0.06,1753.954459179171,1289.0392697885247,3042.9937289676955
2200,200,8.0,270.0,0.06,1753.954459179171,1706.8967898553556,3460.851249034527
2200,400,8.0,270.0,0.06,1753.954459179171,1753.920429045601,3507.8748882247723
2200,600,8.0,270.0,0.06,1753.954459179171,1753.9544590151302,3507.908918194301
2300,0,8.0,270.0,0.06,1753.954459179171,1313.3469429784525,3067.301402157623
2300,200,8.0,270.0,0.06,1753.954459179171,1703.53119210472,3457.485651283891
2300,400,8.0,270.0,0.06,1753.954459179171,1753.8997817877137,3507.8542409668844
2300,600,8.0,270.0,0.06,1753.954459179171,1753.9544586480863,3507.908917827257
2400,0,8.0,270.0,0.06,1753.954459179171,1335.7252922805033,3089.6797514596738
2400,200,8.0,270.0,0.06,1753.954459179171,1700.3911124329275,3454.3455716120984
2400,400,8.0,270.0,0.06,1753.954459179171,1753.8701979156885,3507.8246570948595
2400,600,8.0,270.0,0.06,1753.954459179171,1753.954457625512,3507.908916804683
2500,0,8.0,270.0,0.06,1753.954459179171,1356.4795987863151,3110.4340579654863
2500,200,8.0,270.0,0.06,1753.954459179171,1697.4622219050973,3451.4166810842685
2500,400,8.0,270.0,0.06,1753.954459179171,1753.8293425106738,3507.7838016898445
2500,600,8.0,270.0,0.06,1753.954459179171,1753.9544550256123,3507.9089142047833
2600,0,8.0,270.0,0.06,1753.954459179171,1375.8210926838372,3129.7755518630083
2600,200,8.0,270.0,0.06,1753.954459179171,1694.7551637742336,3448.7096229534045
2600,400,8.0,270.0,0.06,1753.954459179171,1753.7747415397766,3507.7292007189476
2600,600,8.0,270.0,0.06,1753.954459179171,1753.95444893244,3507.908908111611
2700,0,8.0,270.0,0.06,1753.954459179171,1393.6792875406204,3147.6337467197914
2700,200,8.0,270.0,0.06,1753.954459179171,1692.2756752578691,3446.23013443704
2700,400,8.0,270.0,0.06,1753.954459179171,1753.7038774032217,3507.6583365823926
2700,600,8.0,270.0,0.06,1753.954459179171,1753.9544356547724,3507.908894833943
2800,0,8.0,270.0,0.06,1753.954459179171,1410.3894004625342,3164.343859641705
2800,200,8.0,270.0,0.06,1753.954459179171,1690.0253352876657,3443.979794466836
2800,400,8.0,270.0,0.06,1753.954459179171,1753.6142896514705,3507.5687488306417
2800,600,8.0,270.0,0.06,1753.954459179171,1753.954408548381,3507.9088677275518
2900,0,8.0,270.0,0.06,1753.954459179171,1426.119835228416,3180.0742944075864
2900,200,8.0,270.0,0.06,1753.954459179171,1688.0022777789784,3441.9567369581496
2900,400,8.0,270.0,0.06,1753.954459179171,1753.50367317259,3507.458132351761
2900,600,8.0,270.0,0.06,1753.954459179171,1753.9543563617108,3507.9088155408817
3000,0,8.0,270.0,0.06,1753.954459179171,1440.7299285884003,3194.684387767571
3000,200,8.0,270.0,0.06,1753.954459179171,1686.201850457603,3440.156309636774
3000,400,8.0,270.0,0.06,1753.954459179171,1753.3699672511095,3507.3244264302803
3000,600,8.0,270.0,0.06,1753.954459179171,1753.9542610603817,3507.9087202395526
3100,0,8.0,270.0,0.06,1753.954459179171,1454.3235325841313,3208.277991763302
3100,200,8.0,270.0,0.06,1753.954459179171,1684.6172079336498,3438.5716671128207
3100,400,8.0,270.0,0.06,1753.954459179171,1753.2114304900801,3507.1658896692506
3100,600,8.0,270.0,0.06,1753.954459179171,1753.9540951395647,3507.9085543187352
3200,0,8.0,270.0,0.06,1753.954459179171,1467.1566604824018,3221.1111196615725
3200,200,8.0,270.0,0.06,1753.954459179171,1683.239834176445,3437.1942933556156
3200,400,8.0,270.0,0.06,1753.954459179171,1753.0266983716608,3506.981157550832
3200,600,8.0,270.0,0.06,1753.954459179171,1753.9538184985443,3507.908277677715
3300,0,8.0,270.0,0.06,1753.954459179171,1479.2914572610277,3233.2459164401985
3300,200,8.0,270.0,0.06,1753.954459179171,1682.0599941668615,3436.0144533460325
3300,400,8.0,270.0,0.06,1753.954459179171,1752.8148219673437,3506.769281146515
3300,600,8.0,270.0,0.06,1753.954459179171,1753.9533750194255,3507.9078341985964
3400,0,8.0,270.0,0.06,1753.954459179171,1490.6366150845163,3244.5910742636875
3400,200,8.0,270.0,0.06,1753.954459179171,1681.067117638408,3435.0215768175785
3400,400,8.0,270.0,0.06,1753.954459179171,1752.5752878285866,3506.5297470077576
3400,600,8.0,270.0,0.06,1753.954459179171,1753.952689051323,3507.907148230494
3500,0,8.0,270.0,0.06,1753.954459179171,1501.259077906605,3255.213537085776
